id	iast	burmese	es	en	flag
74067	taṁtaṁyonika	ထိုထို(သတ္တဝါတို့၏ ဇာတ်တူရောနှောကြောင်းဖြစ်သော ဘဏ္ဍဇ-စသော) ခန္ဓာအစု၌ဖြစ်သော၊ ထိုထို (အဏ္ဍဇ-စသော) အမျိုး၌ဖြစ်သော (သတ္တဝါ)။	que surge en el respectivo conjunto de *khandha* (que es la causa de que se mezclen los seres de la misma especie: *bhaṇḍaja* y demás); que surge en la respectiva clase (*aṇḍaja* y demás) (ser vivo).	arising in the respective aggregate of *khandha* (which is the cause of the mingling of beings of the same kind: *bhaṇḍaja* and so on); arising in the respective kind (*aṇḍaja* and so on) (a being).	ဘဏ္ဍဇ in the first clause is probably a misprint for အဏ္ဍဇ; copied as printed.
74069	taṁtaṁvatthuka	ထိုထို (ရက်တက်-စသော) တည်ရာရှိသော (အရသာ-စသည်)။	que tiene como soporte el respectivo (‹ရက်တက်› y demás) (sabor y demás).	having the respective (‹ရက်တက်› and so on) as its basis (taste and so on).	ရက်တက် unclear (the tongue? a garbled word); left in Burmese.
74078	taṁnibbattakuṭṭhagaṇḍapīl̤akādiroga	ထို (ဓာန်ချောက်ချားခြင်း) ကြောင့်ဖြစ်သော နူနာ,ထွတ်မြင်းအနာ,အိုင်းအမာ-သွေးစုနာ-အစရှိသော-အနာ-ရောဂါ။ «S1»	enfermedades / dolencias que comienzan por la lepra, ‹ထွတ်မြင်းအနာ›, el tumor duro / la llaga de sangre acumulada, que surgen a causa de eso (la perturbación de ‹ဓာန်›). Véase [[veyyābādhika]].	diseases / ailments beginning with leprosy, ‹ထွတ်မြင်းအနာ›, the hard swelling / the sore of gathered blood, arising because of that (the disturbance of ‹ဓာန်›). See [[veyyābādhika]].	ထွတ်မြင်းအနာ (a kind of sore or boil) and ဓာန် (perhaps ဓာတ် 'elements') not identified; left in Burmese.
74108	taṁsamatthatānirodha	ထို...စွမ်းနိုင်သည်၏အဖြစ်-အစွမ်သတ္တိ-၏-မကွယ်ပျောက်-မချုပ်ငြိမ်း-ခြင်း။	el no desaparecer / el no cesar del hecho de ser capaz / de la potencia de aquello ....	the not disappearing / not ceasing of the state of being able / of the power of that ....	The Burmese negates ('not ceasing') though the headword ends in -nirodha; translated as printed.
74122	taṁsambhāvanīyaguṇanivatti	ထို...ချီးဝှဲအပ်သော ဂုဏ်မှ-ပြန်လည်-ဆုတ်နစ်-လျောကျ-ကင်းကွာ-ခြင်း။	el volver atrás / el retirarse / el decaer / el apartarse de la virtud de aquello ... que ha de ser estimada.	the turning back / withdrawing / falling away / separating from the virtue of that ... that is to be esteemed.	ချီးဝှဲ read as 'to be esteemed / honoured' (sambhāvanīya).
74130	taka	(၁) ချိပ်၊ အညွန့်ဖျားမှ ထွက်သော အစေး။ (ဆေးဖက်ဝင်သော ချိပ်မျိုး)။ (၂) ရှိန်းဂို၊ ရှိန်းဂိုပင်၏-အခွံ-အခေါက်-ကို-ကျို-ချက်-၍ရသော ရှိန်းဂိုရည်။ «S1»	(1) laca; la resina que sale de la punta del brote. (Clase de laca de uso medicinal). (2) ‹ရှိန်းဂို›; jugo de ‹ရှိန်းဂို› obtenido al hervir / cocer la corteza / la cáscara del árbol ‹ရှိန်းဂို›. Véanse también [[jatu]], [[lākhā]].	(1) lac; the resin that comes from the tip of the shoot. (A kind of lac used in medicine). (2) ‹ရှိန်းဂို›; ‹ရှိန်းဂို› juice obtained by boiling / cooking the bark / the rind of the ‹ရှိန်းဂို› tree. See also [[jatu]], [[lākhā]].	ရှိန်းဂို not identified with confidence (possibly asafoetida, hiṅgu); left in Burmese.
74132	takapaṇṇi	(၁) ရွက်ရင့်ချိပ်။ (က) ရွက်ရင့်တို့ကို-လှော်-ချက်-၍ပြုအပ်သောအစေး။ (ခ) ရိုးတံမှထွက်သောအစေး။ (၂) ရှိန်းဂိုပင်၏အသီးကို ချက်၍ပြုအပ်သော ရှိန်းဂိုရည်။	(1) laca de hoja madura. (a) resina hecha tostando / cociendo las hojas maduras. (b) resina que sale del tallo. (2) jugo de ‹ရှိန်းဂို› hecho cociendo el fruto del árbol ‹ရှိန်းဂို›.	(1) mature-leaf lac. (a) resin made by roasting / cooking the mature leaves. (b) resin that comes from the stalk. (2) ‹ရှိန်းဂို› juice made by cooking the fruit of the ‹ရှိန်းဂို› tree.	ရှိန်းဂို not identified with confidence (possibly asafoetida); left in Burmese.
74133	takapatti	(၁) ရွက်နုချိပ်၊ ရွက်နု-မှ ထွက်-ဖြင့် ပြုအပ်-သော အစေး။ (၂) ရှိန်းဂိုပင်၏ ရွက်နုတို့ကို ချက်၍ ပြုအပ်သော ရှိန်းဂိုရည်။	(1) laca de hoja tierna; resina que sale de / hecha con las hojas tiernas. (2) jugo de ‹ရှိန်းဂို› hecho cociendo las hojas tiernas del árbol ‹ရှိန်းဂို›.	(1) young-leaf lac; resin coming from / made with the young leaves. (2) ‹ရှိန်းဂို› juice made by cooking the young leaves of the ‹ရှိန်းဂို› tree.	ရှိန်းဂို not identified with confidence (possibly asafoetida); left in Burmese.
74138	takka	(ပု) (၁) (အာရုံကို) ကြံစည်-ဆွဲငင်-ဆောင်ယူ-ခြင်း (ဝိဘက်စေတသိက်)။ (၂) (ကျမ်းဆရာ၏) အဆို-အမိန့်-အလို-အကြိုက်-အယူအဆ-ဝါဒ။ «S1» (၃) (မီမံသ-စသော) တက်ကျမ်း။ (၄) သစ်စေး၊ သစ်ပင်၏-ပင်စည်-ရိုးတံ-အရွက်-အညွန့်-အသီး-မှ-ထွက်-ရအပ်-သော အစေး။ (န) (၅) ဆန်ရည်၊ ဆန်ကြက်တက်ရည်၊ ဆန်ဆေးရည်။	(masculino) (1) el pensar / atraer / traer (el objeto) (el *cetasika* *vitakka*). (2) la afirmación / el dictamen / el deseo / el gusto / la opinión / la doctrina (del autor de un tratado). Véase también [[takkānusāra]]. (3) el tratado de lógica (*mīmaṁsa* y demás). (4) resina de árbol; la resina que sale / se obtiene del tronco / del tallo / de la hoja / del brote / del fruto del árbol. (neutro) (5) agua de arroz; ‹ဆန်ကြက်တက်ရည်›; agua de lavar arroz.	(masculine) (1) the thinking / drawing / bringing (of the object) (the *cetasika* *vitakka*). (2) the statement / pronouncement / wish / liking / opinion / doctrine (of the author of a treatise). See also [[takkānusāra]]. (3) the treatise on logic (*mīmaṁsa* and so on). (4) tree resin; the resin that comes / is obtained from the trunk / the stalk / the leaf / the shoot / the fruit of a tree. (neuter) (5) rice water; ‹ဆန်ကြက်တက်ရည်›; rice-washing water.	(1) ဝိဘက် read as ဝိတက် (vitakka). (5) ဆန်ကြက်တက်ရည် unclear (a kind of rice gruel?), left in Burmese.
74140	takka	ရစ်ဝင်ရိုး၊ ရစ်တိုင်၊ ရစ်တံ၊ ဝင်သီတံ။ «S1»	huso; poste de devanar; vara de devanar; varilla del huso. Véase también [[takkagata]] (2).	spindle; winding post; winding rod; spindle stick. See also [[takkagata]] (2).	ဝင်သီတံ rendered tentatively as 'spindle stick'.
74169	takkapariyāhata	(၁) ဝိတက်မျှဖြင့်-ထက်ဝန်းကျင်-အဖန်ဖန်-လှန်လှော၍-အစစွာ-ရှေးရှူ-တီးခေါက်-ဆွဲဆောင်-ခြင်း၊ ဝိတက်မျှဖြင့် အမျိုးမျိုး အဖုံဖုံ-ကြံစည်-တွေးဆ-ခြင်း။ (၂) ဝိတက်မျှဖြင့် အမျိုးမျိုး အဖုံဖုံ-ကြံစည်-တွေးဆ-အပ်သော။ ပရိယာဟတနှင့်ပရိယာဟနန-လည်းကြည့်။	(1) el golpear / el atraer, con el mero *vitakka*, en torno / una y otra vez / revolviendo / primeramente / de frente; el pensar / razonar de diversos modos y maneras con el mero *vitakka*. (2) pensado / razonado de diversos modos y maneras con el mero *vitakka*. Véanse también [[pariyāhata]] y [[pariyāhanana]].	(1) the striking / drawing, by mere *vitakka*, all around / again and again / turning over / first / facing forward; the thinking / reasoning in various ways and manners by mere *vitakka*. (2) thought / reasoned in various ways and manners by mere *vitakka*. See also [[pariyāhata]] and [[pariyāhanana]].	A 'see also' (ပရိယာဟတနှင့်ပရိယာဟနန-လည်းကြည့်) was not placeholdered; rendered in place.
74172	takkappa	ထို (ကြံ့ချို) နှင့်တူသော၊ သူ။	semejante a ese (‹ကြံ့ချို›) (dicho de una persona).	like that (‹ကြံ့ချို›) (said of a person).	ကြံ့ချို unclear (garbled?); left in Burmese.
74187	takkayāma	ကြံစည်-တွေးဆ-ကုန်၏။ «S1»	piensan / razonan. Véase [[takketi]].	think / reason. See [[takketi]].	Headword is 1st person plural; the Burmese (ကုန်၏) marks only the plural. Rendered 3rd plural per the formula.
74192	takkala	(၁) သစ်စေး၊ သစ်ပင်မှထွက်သော အစေး။ «S1» (၂) (က) သထွေးပင်။ «S2» (ခ) သထွေးဥ၊ သထွေးဖု။ (ဂ) မျောက်ပင်၊ မျောက်ဥ။	(1) resina de árbol; la resina que sale del árbol. Véase [[takka]] (1). (2) (a) la planta ‹သထွေး›. Véase también [[piṇḍālu]]. (b) tubérculo de ‹သထွေး›; bulbo de ‹သထွေး›. (c) la planta ‹မျောက်›; tubérculo de ‹မျောက်›.	(1) tree resin; the resin that comes from a tree. See [[takka]] (1). (2) (a) the ‹သထွေး› plant. See also [[piṇḍālu]]. (b) ‹သထွေး› tuber; ‹သထွေး› knob. (c) the ‹မျောက်› plant; ‹မျောက်› tuber.	Plants သထွေး and မျောက်ပင် not identified (tuberous plants, perhaps yams); left in Burmese.
74193	takkalakanda	သထွေးဥသထွေးဖု။ «S1» «S2»	tubérculo de ‹သထွေး›; bulbo de ‹သထွေး›. Véase [[takkala]] (2). Véase también [[piṇḍālukanda]].	‹သထွေး› tuber; ‹သထွေး› knob. See [[takkala]] (2). See also [[piṇḍālukanda]].	Plant သထွေး not identified; left in Burmese.
74194	takkalajātaka	တက္ကလဇာတ်၊ သထွေးပင်-သထွေးဥ-ကို အကြောင်းပြု၍ ဟောပြရာဇာတ်။	el *jātaka* de *takkala*; *jātaka* expuesto a propósito de la planta ‹သထွေး› / el tubérculo de ‹သထွေး›.	the *takkala* *jātaka*; the *jātaka* told on account of the ‹သထွေး› plant / the ‹သထွေး› tuber.	Plant သထွေး not identified; left in Burmese.
74197	takkavatthu	ရက်တက်ရည်-(ဖြင့်မှအပ်သော) အကြောင်း-အဋ္ဌုပ္ပတ်။	el relato / la *aṭṭhuppatti* (que tiene como base) el suero de mantequilla.	the account / the *aṭṭhuppatti* (based on) buttermilk.	(ဖြင့်မှအပ်သော) unclear; read as 'based on'.
74216	takkārī	(၁) ရေသကျည်း-ယာကျည်း-ယာစကျည်း-ပင်။ (၂) ဆူးခေါင်းနက်ပင်။	(1) la planta ‹ရေသကျည်း› / ‹ယာကျည်း› / ‹ယာစကျည်း›. (2) la planta ‹ဆူးခေါင်းနက်›.	(1) the ‹ရေသကျည်း› / ‹ယာကျည်း› / ‹ယာစကျည်း› plant. (2) the ‹ဆူးခေါင်းနက်› plant.	Plant names not identified (Skt. tarkārī is usually Premna or Sesbania); left in Burmese.
74223	takkāṭata	ဝိတက်ဖြင့်-အစစွာ-ရှေးရှူ-တွေ့ထိ-တီးခေါက်-ဆောင်ယူ-အပ်သော၊ ဝိတက်ဖြင့်ကြံစည်အပ်သော (ကမ္မဋ္ဌာန်းအာရုံ-စသည်)။ «S1»	tocado / golpeado / traído primeramente / de frente por el *vitakka*; pensado por el *vitakka* (objeto de *kammaṭṭhāna* y demás). Véase también [[takkapariyāhata]].	touched / struck / brought first / facing forward by *vitakka*; thought by *vitakka* (a *kammaṭṭhāna* object and so on). See also [[takkapariyāhata]].	Headword takkāṭata looks like a misspelling of takkāhata; definition identical to the preceding entry.
74231	takkī	ကြံစည်-တွေးဆ-တတ်သော၊ ကြံစည်-တွေးဆခြင်းရှိသော၊ သူ။ အကြံသမား၊ အတွေးသမား။ အကျယ်ကို ဒီဋ္ဌ၊၁၊၉၉၌ ကြည့်ပါ။	que suele pensar / razonar; que tiene el pensar / razonar (dicho de una persona). maquinador; pensador. Para el detalle, véase la referencia.	apt to think / reason; given to thinking / reasoning (said of a person). a schemer; a thinker. For details, see the reference.	The citation (ဒီဋ္ဌ၊၁၊၉၉, probably Dīgha I 99; ဒီဋ္ဌ may be a misprint for ဒီ) was dropped per rule 5; the 'for details see' remains.
74238	takketi	ကြံစည်-တွေးဆ-၏၊ (က) အာရုံသို့စိတ်ကို-ရှေးရှုတက်ရောက်စေ-တင်ပို့-၏။ (ခ) ဆွဲငင်-ဆောင်ယ-၏။ (ဂ) ချီးမြှောက်၏၊ ကြိမ်းပ၏။	piensa / razona; (a) hace subir / eleva la mente hacia el objeto. (b) atrae / trae. (c) ensalza; amenaza.	thinks / reasons; (a) makes the mind go up / raises it towards the object. (b) draws / brings. (c) extols; threatens.	ဆောင်ယ read as ဆောင်ယူ. (c) ကြိမ်းပ read as 'threatens / scolds'.
74243	takkola	ကရဝေး၊ ကရဝေးသီး။	cubeba; fruto de cubeba.	cubeb; cubeb fruit.	ကရဝေး tentatively identified as cubeb (Piper cubeba), the usual sense of Pāḷi takkola.
74245	takkolaka	ကရဝေး၊ ကရဝေးသီး။	cubeba; fruto de cubeba.	cubeb; cubeb fruit.	ကရဝေး tentatively identified as cubeb (Piper cubeba).
74246	takkolavaṭaṁsaka	(က) ဦးဆောက်ပန်းနှင့်တူသော ကရဝေးသီး။ (ခ) ကရဝေးသီး၏ ဦးဆောက်ပန်းသဏ္ဌာန်။	(a) fruto de cubeba semejante a una flor de adorno para la cabeza. (b) la forma de flor de adorno para la cabeza del fruto de cubeba.	(a) cubeb fruit resembling a head-ornament flower. (b) the head-ornament-flower shape of the cubeb fruit.	ကရဝေး tentatively identified as cubeb (Piper cubeba).
74249	tagara	(၁) တောင်ဇလပ်။ (၂) တောင်ဇလပ်ပန်းနံ့။	(1) ‹တောင်ဇလပ်›. (2) el perfume de la flor de ‹တောင်ဇလပ်›.	(1) ‹တောင်ဇလပ်›. (2) the scent of the ‹တောင်ဇလပ်› flower.	တောင်ဇလပ် (tagara) not identified with confidence (Tabernaemontana? Valeriana?); left in Burmese.
74252	tagaramālādigandhabandhapaliveṭhanapattasadisa	တောင်ဇလပ်ပန်း-အစရှိသော ပန်းနံ့သာကို ဖွဲ့ထုပ်ရစ်ပတ် (ကြောင်းဖြစ်)သော သစ်ရွက်နှင့်တူသော၊ သူ။ (ပညာရှိကို မှီဝဲသူ)။	semejante a la hoja que sirve para envolver y atar perfumes de flores como la flor de ‹တောင်ဇလပ်› y demás (dicho de una persona). (El que frecuenta al sabio).	like the leaf that serves to wrap and bind flower perfumes such as the ‹တောင်ဇလပ်› flower and so on (said of a person). (One who associates with the wise).	တောင်ဇလပ် (tagara) not identified with confidence; left in Burmese.
74253	tagaramālādigandhasadisa	တောင်ဇလပ်ပန်းအစရှိသော ပန်းနံ့သာနှင့်တူသော (ပညာရှိ)။	semejante al perfume de flores como la flor de ‹တောင်ဇလပ်› y demás (el sabio).	like the perfume of flowers such as the ‹တောင်ဇလပ်› flower and so on (the wise man).	တောင်ဇလပ် (tagara) not identified with confidence; left in Burmese.
74272	taggara	(၁) တောင်ဇလပ်။ (၂) တောင်ဇလပ်ပန်းနံ့။	(1) ‹တောင်ဇလပ်›. (2) el perfume de la flor de ‹တောင်ဇလပ်›.	(1) ‹တောင်ဇလပ်›. (2) the scent of the ‹တောင်ဇလပ်› flower.	တောင်ဇလပ် (tagara) not identified with confidence; left in Burmese.
74257	tagarādigandhajātipaliveṭhanapatta	တောင်ဇလပ်-အစရှိသော နံ့သာမျိုးကို-ရစ်ပတ်-ဖွဲ့စည်း- (ကြောင်းဖြစ်) သော-သစ်ရွက်-ဖက်ရွက်။	hoja / hoja de envolver que sirve para envolver / atar clases de perfume que comienzan por ‹တောင်ဇလပ်›.	leaf / wrapping leaf that serves to wrap / bind kinds of perfume beginning with ‹တောင်ဇလပ်›.	တောင်ဇလပ် (tagara) not identified with confidence; left in Burmese.
74264	taggatasammoha	ထို (လက္ခဏာယာဉ် ၃-ပါး)၌ ဖြစ်သောပြင်းစွာတွေဝေခြင်း (မောဟ)။	el extravío intenso (*moha*) que surge respecto de eso (las 3 *lakkhaṇā*).	the intense bewilderment (*moha*) arising regarding that (the 3 *lakkhaṇā*).	လက္ခဏာယာဉ် ၃-ပါး read as 'the 3 characteristics'; ယာဉ် unclear.
74265	taggatasammohaviddhaṁsana	ထို (လက္ခဏာယာဉ် ၃-ပါး) ၌ ဖြစ်သော ပြင်းစွာတွေဝေခြင်း (မောဟ) ကို ဖျက်ဆီးခြင်း။	el destruir el extravío intenso (*moha*) que surge respecto de eso (las 3 *lakkhaṇā*).	the destroying of the intense bewilderment (*moha*) arising regarding that (the 3 *lakkhaṇā*).	လက္ခဏာယာဉ် ၃-ပါး read as 'the 3 characteristics'; ယာဉ် unclear.
74270	taggamana	ထို...၌-ရောက်သော-ထားအပ်သော-စိတ်ရှိသော၊ သူ။ မနသာ-၌သ-အာဂုံ။ နီတိ၊ပဒ၊၁၆၂-ကြည့်ပါ။	que tiene la mente llegada a / puesta en aquello ... (dicho de una persona). En *manasā*, *sa* es aumento (*āgama*). Véase [[nīti]], [[pada]] 162.	having a mind arrived at / set on that ... (said of a person). In *manasā*, *sa* is an augment (*āgama*). See [[nīti]], [[pada]] 162.	A 'see' to Saddanīti, Padamālā 162 (နီတိ၊ပဒ၊၁၆၂-ကြည့်ပါ) was not placeholdered; rendered in place.
74292	taggha	ဇဏ္ဏုတဂ္ဃါ ဥပတ္ထရာ (ဇာ၊၂။ ၃၄၄)တိ ဇဏ္ဏုပမာဏေ ဥဒကေ ဥပတ္ထရာ ဖုလ္လာ ဟောန္တိ။ ဇာ၊ဋ္ဌ၊၇။ ၃၁၁။	*jaṇṇutagghā upattharāti jaṇṇupamāṇe udake upattharā phullā honti*.	*jaṇṇutagghā upattharāti jaṇṇupamāṇe udake upattharā phullā honti*.	The entry is only a Pāḷi quotation (Jātaka and its commentary) with no Burmese gloss; citations dropped, nothing translated.
74296	taṅketi	နှောင်ဖွဲ့အပ်။	es atado / ligado.	is bound / tied.	The Burmese gives the passive (နှောင်ဖွဲ့အပ်, without ၏) for an active-looking headword; translated as printed.
74301	taṅkhaṇapatita	ထိုခဏ၌-တဏေချင်း- (ဝေနေယျသန္တာန်၌) ကျရောက်လာသော (တရားဒေသနာ-စသည်)။	que ha caído en ese instante / al momento (en la continuidad del *veneyya*) (exposición de la Enseñanza y demás).	that has fallen at that moment / instantly (into the continuity of the *veneyya*) (an exposition of the Teaching and so on).	တဏေချင်း read as တခဏချင်း 'instantly'.
74338	tacati	စောင့်ရှောက်-ထိန်းသိမ်း-ကာကွယ်-၏။	custodia / guarda / protege.	guards / keeps / protects.	Label is တိ (adjective) but the gloss is a verb (-၏).
74354	tacabbhava	သစ်ခွံ-လျှော်-မှ ဖြစ်သော (ခုံချည်အဝတ်-စသည်)။	hecho de corteza de árbol / fibra (tejido de ‹ခုံချည်› y demás).	made from tree bark / fibre (‹ခုံချည်› cloth and so on).	ခုံချည်အဝတ် not identified (a bark-fibre cloth?); ခုံချည် left in Burmese.
74373	tacopariyonaddhaaṭṭhimattasīla	အရေဖြင့်-ထက်ဝန်းကျင်-ပတ်ပတ်လည်-မြှေးရှက်အပ်သော (အသားမပါ) အရိုးမျှသာဖြစ်သော ဦးခေါင်းရှိသော၊ သူ။	que tiene una cabeza que es solo hueso (sin carne), envuelta en torno / alrededor por la piel (dicho de una persona).	having a head that is mere bone (without flesh), wrapped all around / round about by the skin (said of a person).	Headword ends in -sīla, probably a misprint for -sīsa (cf. taconaddhaaṭṭhimattasīsa).
74378	tacchaka	(၁) လက်သမား၊ ဗိသုကာ။ (က) သစ်ရွေ-တံစည်း-ဒေါင်းရွေ-နှီးရွေ-ဖျာရက်-သမား။ «S1» (ခ) ကျောက်ထွင်း-ကျောက်ထု-ကျောက်ဆစ်-သမား။ «S2» (၂) မြွေ၊ နဂါး။ «S3»	(1) carpintero; artesano constructor. (a) cepillador de madera / carpintero / ‹ဒေါင်းရွေ› / preparador de tiras de bambú / tejedor de esteras. Véase también [[tacchakakamma]] (a). (b) tallador de piedra / picapedrero / cantero. Véase [[tacchakakamma]] (b). (2) serpiente; *nāga*. Véase también [[tacchakanāgaparisā]].	(1) carpenter; builder. (a) wood-planer / carpenter / ‹ဒေါင်းရွေ› / bamboo-strip splitter / mat-weaver. See also [[tacchakakamma]] (a). (b) stone-carver / stone-hewer / stone-cutter. See [[tacchakakamma]] (b). (2) snake; *nāga*. See also [[tacchakanāgaparisā]].	ဒေါင်းရွေ(သမား) not identified (a kind of woodworker?); left in Burmese.
