id	kind	burmese	pali	en	es	status	flag	occ_v01	art_v01	note
L084	lexical	အတ္တဘော	attabhāva	individual existence; body	existencia individual; cuerpo	proposed	glossary	36	31	attabhāva
L085	lexical	ထိုက်	araha	worthy of; deserving	digno de	proposed		36	31	
L086	lexical	ပိုင်းခြား	paricchindati	to delimit; to discern	delimitar; discernir	proposed		36	28	
L087	lexical	မြင်	passati, dassana	to see	ver	proposed		20	15	
L088	lexical	အင်္ဂါကြီးငယ်	aṅgapaccaṅga	the limbs, major and minor	los miembros mayores y menores	proposed		34	33	
L089	lexical	မျက်စိ	cakkhu, akkhi	eye	ojo	proposed		34	29	
L090	lexical	သင်္ကန်း	cīvara	robe	hábito	proposed	glossary	33	26	cīvara: hábito / túnica
L091	lexical	အရပ်	ṭhāna, padesa, disā	place; region	lugar; región	proposed		33	31	
L092	lexical	အခြားမဲ့	anantara	immediately following	inmediatamente siguiente	proposed		33	30	
L093	lexical	တုန်လှုပ်	kampati	to tremble; to be shaken	temblar; estremecerse	proposed		13	11	
L094	lexical	နင်း	akkamati	to tread on	pisar	proposed		32	27	
L095	lexical	နှစ်သက်	ruci, abhinandati	to delight in; to like	deleitarse en; gustar de	proposed		33	23	
L096	lexical	အမည်	nāma	name	nombre	proposed		32	21	
L097	lexical	အတိုင်းအရှည်	pamāṇa	measure; extent	medida; extensión	proposed		32	27	
L098	lexical	ကျေးဇူး	upakāra	kindness done; favour	favor; beneficio recibido	proposed		11	11	
L099	lexical	ဉာဏ်	ñāṇa	knowledge	conocimiento	proposed	glossary	27	27	ñāṇa: conocimiento / sabiduría
L100	lexical	နေရာ	ṭhāna, āsana	place; seat	lugar; asiento	proposed		42	35	
L101	lexical	နတ်	deva	deva (kept in Pāḷi)	deva (se mantiene en pāḷi)	proposed				The editor 26 Sep 2026: ⟦=deva⟧ in the drafts, from vol. 5 (4/1–4/2 mixed deidad and deva)
L102	lexical	ရဟန်း	bhikkhu	monk	monje	proposed				The editor 26 Sep 2026, from vol. 5
L103	lexical	ပယ်	pajahati, pahāna	abandon	abandonar	proposed				The editor 26 Sep 2026, from vol. 5 (vol. 2 shard 07 had rechazar / reject)
L104	lexical	ဥတု	utu	utu (temperature, kept in Pāḷi); season	utu (temperatura, se mantiene en pāḷi); estación	proposed				The editor 26 Sep 2026, from vol. 5: ⟦=utu⟧ where it means temperature, estación / season where it means a season
L105	lexical	ဂုဏ်	guṇa	quality; virtue	cualidad; virtud	proposed				The editor 26 Sep 2026, from vol. 7: cualidad or virtud by context (vol. 6 had cualidad 204 rows, virtud 86)
L106	lexical	လူ (of the gihi- compounds)	gihin	layman	laico	proposed				The editor 26 Sep 2026, from vol. 7: လူ as the householder opposed to the monk is laico / layman; elsewhere ser humano
